channel_index,graspnet_ref,ln_affine,ln_affine_adapter,ln_adapter
178,0.2170516848564148,0.03371063992381096,0.01568237505853176,0.01568237505853176
179,0.6072100400924683,0.030687503516674042,0.02175081893801689,0.02175081893801689
180,0.24517875909805298,0.05188708007335663,0.008385549299418926,0.008385549299418926
181,0.0565948411822319,0.018078073859214783,0.013946234248578548,0.013946234248578548
182,0.2406637966632843,0.05851998180150986,0.009539926424622536,0.009539926424622536
183,0.05078083649277687,0.04267736151814461,0.007083922624588013,0.007083922624588013
184,0.007261438295245171,0.04127868637442589,0.0072757950983941555,0.0072757950983941555
185,0.599244236946106,0.03442968428134918,0.02365051954984665,0.02365051954984665
186,0.051292628049850464,0.11562976986169815,0.0125008849427104,0.0125008849427104
187,0.4604743719100952,0.028791040182113647,0.010803154669702053,0.010803154669702053
188,0.07408514618873596,0.014580734074115753,0.0025649003218859434,0.0025649003218859434
189,0.21147394180297852,0.06028028950095177,0.017540188506245613,0.017540188506245613
190,0.011941996403038502,0.0475291833281517,0.02116345427930355,0.02116345427930355
191,0.027392134070396423,0.01674412004649639,0.011183748953044415,0.011183748953044415
192,0.03684448450803757,0.04770077392458916,0.013662696816027164,0.013662696816027164
193,0.5551102757453918,0.038834348320961,0.010831387713551521,0.010831387713551521
194,0.040531668812036514,0.08364029973745346,0.007363425567746162,0.007363425567746162
195,0.30605974793434143,0.031830474734306335,0.017415247857570648,0.017415247857570648
196,0.002631562761962414,0.030473463237285614,0.014764451421797276,0.014764451421797276
197,0.001786162261851132,0.015961775556206703,0.01751583442091942,0.01751583442091942
198,0.4599204957485199,0.029636500403285027,0.0030186481308192015,0.0030186481308192015
199,0.049884188920259476,0.03424025699496269,0.011700375005602837,0.011700375005602837
